Nutrient,Type,Average Daily Amount,Deficiency Symptoms,Excess Symptoms,Food Sources,Gender/Age Notes
Vitamin A,Vitamin,"900 mcg (men), 700 mcg (women)","Night blindness, dry skin, increased infection risk","Liver damage, blurred vision, nausea, bone pain","Liver, sweet potatoes, carrots, spinach, eggs","900 mcg for men, 700 mcg for women (19+ yrs)"
Vitamin C,Vitamin,"90 mg (men), 75 mg (women)","Scurvy, fatigue, poor wound healing","Stomach cramps, diarrhea, kidney stones","Citrus fruits, strawberries, bell peppers, broccoli","90 mg for men, 75 mg for women (19+ yrs)"
Vitamin D,Vitamin,600 IU (15 mcg),"Bone pain, muscle weakness, rickets","Calcium buildup, kidney damage","Fatty fish, fortified dairy, sunlight",600 IU (15 mcg) for most adults
Calcium,Mineral,1000 mg,"Osteoporosis, brittle nails, numbness","Kidney stones, constipation, impaired absorption of other minerals","Milk, cheese, yogurt, leafy greens, almonds",1000 mg for adults aged 19–50; 1200 mg for 51+
Iron,Mineral,"8 mg (men), 18 mg (women)","Anemia, fatigue, weakness","Organ damage, nausea, vomiting","Red meat, beans, fortified cereals, spinach","8 mg for men, 18 mg for women (19–50 yrs)"
Magnesium,Mineral,"400-420 mg (men), 310-320 mg (women)","Muscle cramps, mental disorders, osteoporosis","Diarrhea, abdominal cramping","Nuts, whole grains, leafy greens, legumes","400–420 mg for men, 310–320 mg for women (19+ yrs)"
Protein,Macronutrient,"56 g (men), 46 g (women)","Muscle wasting, weakened immunity","Kidney strain, digestive issues (in very high amounts)","Meat, fish, dairy, legumes, soy","56 g for men, 46 g for women (average adult)"
Carbohydrates,Macronutrient,225–325 g (based on 2000 kcal diet),"Fatigue, ketosis, constipation","Weight gain, insulin resistance","Whole grains, fruits, vegetables, legumes",225–325 g based on 2000 kcal diet
Fat,Macronutrient,70–77 g (based on 2000 kcal diet),"Dry skin, hormone imbalances, vitamin deficiencies","Weight gain, cardiovascular issues","Avocados, nuts, seeds, olive oil, fish",70–77 g total fat for a 2000 kcal diet
Fiber,Macronutrient,"38 g (men), 25 g (women)","Constipation, poor blood sugar control","Bloating, gas, mineral absorption issues","Whole grains, fruits, vegetables, legumes","38 g for men, 25 g for women (19–50 yrs)"
Zinc,Mineral,"11 mg (men), 8 mg (women)","Growth retardation, hair loss, delayed wound healing","Nausea, vomiting, immune suppression","Shellfish, beef, pumpkin seeds, lentils","11 mg for men, 8 mg for women (19+ yrs)"
Potassium,Mineral,"3400 mg (men), 2600 mg (women)","Muscle weakness, fatigue, heart arrhythmias","Irregular heartbeat, muscle paralysis","Bananas, potatoes, spinach, beans, avocados","3400 mg men, 2600 mg women (adults)"
Sodium,Mineral,1500 mg (AI); limit to <2300 mg,"Headache, nausea, muscle cramps","High blood pressure, heart disease risk","Table salt, processed foods, soups",1500 mg AI; limit to <2300 mg (adults)
Phosphorus,Mineral,700 mg,"Bone pain, irregular breathing, fatigue","Impaired kidney function, cardiovascular issues","Meat, dairy, nuts, legumes",700 mg for adults of all ages
Iodine,Mineral,150 mcg,"Goiter, hypothyroidism, developmental issues","Thyroid dysfunction, metallic taste","Iodized salt, seafood, dairy",150 mcg for adults (19+ yrs)
Selenium,Mineral,55 mcg,"Heart disease, male infertility, cognitive decline","Hair loss, gastrointestinal upset, nerve damage","Brazil nuts, seafood, eggs",55 mcg for adults (19+ yrs)
Vitamin B12,Vitamin,2.4 mcg,"Anemia, fatigue, nerve damage",No known toxicity from high intake,"Meat, eggs, dairy, fortified cereals",2.4 mcg for all adults (higher for older adults)
Vitamin B6,Vitamin,1.3–1.7 mg (adults),"Irritability, depression, confusion","Nerve damage, skin lesions","Fish, beef liver, potatoes, bananas",1.3–1.7 mg for adults (varies by age/gender)
Vitamin E,Vitamin,15 mg,"Nerve and muscle damage, vision problems",Increased bleeding risk,"Nuts, seeds, vegetable oils, spinach",15 mg for adults (19+ yrs)
Omega-3 Fatty Acids,Essential Fat,"1.6 g (men), 1.1 g (women)","Dry skin, poor memory, cardiovascular issues","Blood thinning, immune suppression (in very high amounts)","Fatty fish (salmon, mackerel), flaxseeds, walnuts","1.6 g men, 1.1 g women (19+ yrs)"